発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200302	富士見ファンタジア文庫	斗姫 T?-ki　花の章	吉岡平	みけおう	4-8291-1475-4	873	11-54	282	
200302	富士見ファンタジア文庫	モンスター・コレクション・ノベル　偽りの名は仮面導師	北沢慶　原案：安田均	四季童子	4-8291-1492-4	890	95-19	308	
200302	富士見ファンタジア文庫	天高く、雲は流れ 13	冴木忍	森山大輔	4-8291-1493-2	891	32-36	252	
200302	富士見ファンタジア文庫	風の聖痕 3　―月下の告白―	山門敬弘	納都花丸	4-8291-1494-0	892	118-3	366	
200302	富士見ファンタジア文庫	カオス レギオン　聖戦魔軍篇	冲方丁	結賀さとる	4-8291-1495-9	893	136-1	398	
200302	富士見ファンタジア文庫	ジャッジメント・ワールド　されど〈偽り〉の日々	青田竜幸	大峰ショウコ	4-8291-1497-5	895	107-6	235	
200302	富士見ファンタジア文庫	スレイヤーズすぺしゃる (20)　ミッション・ポシブル	神坂一	あらいずみるい	4-8291-1498-3	896	20-43	289	
200302	富士見ファンタジア文庫	ラジカルあんてぃ～く 5　聖なる山とドジ妖精	清水文化	南島達也	4-8291-1499-1	897	83-14	350	
200302	角川スニーカー文庫	ゲートキーパーズ1985　二つの刻の狭間で	山口宏	朝来昭子、竹浪秀行	4-04-413105-8	12681	112-5	271	
200302	角川スニーカー文庫	ランブルフィッシュ　(5) 凶天使襲来編	三雲岳斗	久織ちまき	4-04-424106-6	12814	123-6	335	
200302	角川スニーカー文庫	精獣戦争　鳩は滅ぼす	三田誠　原案：安田均	鴉和三	4-04-424905-9	12818	617-5	219	
200302	角川スニーカー文庫	吸血殲鬼ヴェドゴニア WHITE NIGHT	虚淵玄 (ニトロプラス)、種子島貴	山田秀樹	4-04-427803-2	12815	156-3	345	
200302	角川スニーカー文庫	装甲騎兵ボトムズ　II. クメン編	高橋良輔	大河原邦男、塩山紀生	4-04-428402-4	12816	161-2	282	
200302	角川スニーカー文庫	されど罪人は竜と踊る	浅井ラボ	宮城	4-04-428901-8	12817	165-1	359	[第7回スニーカー大賞＜奨励賞＞]
200302	ファミ通文庫	神牌演義 (4)　瀬戸内海　血に染めて	吉岡平	壱河きづく	4-7577-1286-3	301	よ1 5-4	281	
200302	ファミ通文庫	まじしゃんず・あかでみい II　聖母抹殺!?	榊一郎	BLADE	4-7577-1319-3	303	さ2 2-2	280	
200302	ファミ通文庫	想い出にかわる君　～Memories Off～　偽りの神様 (下)	日暮茶坊	松尾ゆきひろ、相澤こたろー、南條パピ子	4-7577-1320-7	304	M7 4-2	221	
200302	ファミ通文庫	俺の屍を越えてゆけ　呪われし姉弟の輪舞	海法紀光	佐嶋真実	4-7577-1321-5	306	O3 1-1	283	
200302	ファミ通文庫	マリー☆エリー☆リリー 2　～マリーの弟子～	くどうおさむ	笛吹りな	4-7577-1324-X	308	A4 1-4	223	
200302	ファミ通文庫	トゥインクル☆スターシップ 4　好きになってあげてもいいわよ	庄司卓	まりも	4-7577-1329-0	307	し1 1-4	281	
200302	MF文庫J	ラーゼフォン 5	大野木寛　原作：BONES、出渕裕	山田章博、佐野浩敏、菅野宏紀、逢坂浩司	4-8401-0719-X		お-01-05	271	
200302	MF文庫J	葉緑宇宙艦テラリウム　瑠璃色の水妖姫	夏緑	OKAMA	4-8401-0720-3		な-01-03	261	
200302	MF文庫J	七夜物語　DT異聞	和智正喜	甚六	4-8401-0721-1		わ-01-01	261	
200302	スーパーダッシュ文庫	テイルズ オブ デスティニー2 (2)　～二人の聖女～	結城聖	いのまたむつみ、松竹徳幸	4-08-630114-8		ゆ1-5	251	
200302	スーパーダッシュ文庫	世界征服物語　帰ってきた代理人	神代明	如月水、緋賀ゆかり	4-08-630115-6		か5-2	250	
200302	スーパーダッシュ文庫	魔王、始めました　限りなくコスプレに近い理由	淺沼広太	なごやこーちん	4-08-630116-4		あ3-2	249	
200302	スーパーダッシュ文庫	KLAN V　苦闘編	浅野智哉　原案：田中芳樹	いのまたむつみ	4-08-630117-2		た4-5	199	
200302	富士見ミステリー文庫	東京タブロイド 7　碧海仰ぐ奇術師の塔	水城正太郎	しのざきあきら	4-8291-6197-3	97	FM11-09	254	
200302	富士見ミステリー文庫	Mr.サイレント 3　夢現世界の熱い予感	早見裕司	唯月一	4-8291-6198-1	98	FM35-03	236	
200302	徳間デュアル文庫	自転地球儀世界 II　カラトヴァ風雲録	田中芳樹	緒方剛志	4-19-905134-1		Dた1-36	240	
200302	徳間デュアル文庫	鋼馬章伝 III　ガンゴトリの疾風	安彦良和	安彦良和	4-19-905135-X		Dや5-3	308	
200302	ソノラマ文庫	吸血鬼ハンター 14　Ｄ－妖兵街道	菊地秀行	天野喜孝	4-257-76994-7	994	き 1-55	293	
200302	ソノラマ文庫	クラッシャージョウ (別巻 1)　虹色の地獄	高千穂遙	安彦良和	4-257-76999-8	999	た 1-10	399	※改訂・新装版
200302	ハルキ文庫ヌーヴェルSF	導きの星 III　災いの空	小川一水	村田蓮爾、反田誠二	4-7584-3026-8		お 6-4	366	
200302	EX NOVELS	ドリームパーティー	織田兄第	高田明美	4-7575-0857-3		41-1	359	
200302	EX NOVELS	灼熱の竜騎兵 シェアードワールズ　ブルー・ストリーム	篠崎砂美　原案：田中芳樹	北爪宏幸	4-7575-0858-1		22-2	319	
200302	エンターブレイン	2999年のゲーム・キッズ 完全版	渡辺浩弐		4-7577-1328-2			462	
200302	コバルト文庫	無口な婚約者	あさぎり夕	あさぎり夕	4-08-600215-9		あ13-24	294	
200302	コバルト文庫	華めぐり雪なみだ　―清少納言　梛子―	藤原眞莉	鳴海ゆき	4-08-600216-7		ふ6-38	220	
200302	コバルト文庫	天気晴朗なれど波高し。 2	須賀しのぶ	船戸明里	4-08-600217-5		す5-43	235	
200302	コバルト文庫	パラダイスフィッシュ	真堂樹	二宮悦巳	4-08-600218-3		し8-47	279	
200302	コバルト文庫	有閑探偵コラリーとフェリックスの冒険　盗まれた蜜月　前編	橘香いくの	四位広猫	4-08-600219-1		た14-22	236	
200302	コバルト文庫	ルナティック・ラヴ　立ち待ちの月	藤堂夏央	立野真琴	4-08-600220-5		と4-9	212	
200302	コバルト文庫	パンドーラ　～水の神話～	倉本由布	ひだかなみ	4-08-600221-3		く2-64	236	
200302	コバルト文庫	バーコード・チルドレン	本沢みなみ	八重垣ユキ	4-08-600222-1		ほ3-23	219	
200302	コバルト文庫	魔女の結婚　終わらない恋の輪舞	谷瑞恵	蓮見桃衣	4-08-600223-X		た16-10	236	
200302	コバルト文庫	札屋一蓮！　～コイは恋に通ず～	さくまゆうこ	佐倉尚義	4-08-600224-8		さ9-8	206	
200302	コバルト文庫	少年舞妓・千代菊がゆく！　最後のお座敷	奈波はるか	ほり恵利織	4-08-600225-6		な9-5	206	
200302	コバルト文庫	クリスタル・クライシス 11　月の狩人	牧原朱里	緒田涼歌	4-08-600226-4		ま6-11	205	
200302	コバルト文庫	フラクタル・チャイルド　ここは天秤の国	竹岡葉月	オノデラ佐知	4-08-600227-2		た17-8	284	
200302	角川ビーンズ文庫	テーヌ・フォレーヌ物語　テセウスの誘惑	藤本ひとみ	清瀬のどか	4-04-175513-1		BB34-3	252	
200302	角川ビーンズ文庫	腐敗の帝王　ヒューマンファクター　ファクトオブヒューマン	久美沙織　原案：子安武人	川添真理子	4-04-430303-7		BB36-2	276	
200302	角川ビーンズ文庫	少年陰陽師　六花に抱かれて眠れ	結城光流	あさぎ桜	4-04-441609-5		BB16-7	249	
200302	角川ビーンズ文庫	根の国の物語 1　天と地の娘	篠田真由美	羽原よしかづ	4-04-448701-4		BB38-1	298	
200302	角川ビーンズ文庫	根の国の物語 2　芯の樹を求めて	篠田真由美	羽原よしかづ	4-04-448702-2		BB38-2	302	
200302	X文庫ホワイトハート	ラヴァーズ・レッスン	和泉桂	松本テマリ	4-06-255650-2		いD-19	283	
200302	X文庫ホワイトハート	影の眠る街	遠山真夕子	上野かおり	4-06-255655-3		とB-01	244	[第9回ホワイトハート大賞＜最終選考作＞]
200302	X文庫ホワイトハート	回帰のレジェンド　ゲノムの迷宮	宮乃崎桜子	汞りょう	4-06-255656-1		みF-19	277	
200302	X文庫ホワイトハート	Mezame　影喰みの剣	花月幸星	小林みね	4-06-255657-X		かF-01	237	
200302	パレット文庫	秀麗学院高校物語 (19)　少年迷路	七海花音	おおや和美	4-09-421179-9		な3-39	199	
200302	パレット文庫	王子様の秘密の花園	齋姫なおこ	齋姫なおこ	4-09-421256-6		さ2-6	235	
200302	パレット文庫	デビュタント オムニバスvol.1―第27回パレットノベル大賞入選作品集―	神谷よしこ、安西花奈絵、廣島玲子	諏訪緑、鷲尾美枝、高宮智	4-09-421471-2		パ特-1	455	
200302	キャンバス文庫	封殺鬼シリーズ (25)　玉響に散りて	霜島ケイ	西炯子	4-09-430575-0		し1-25	235	
200303	電撃文庫	HAPPY・LESSON The TV	吉岡たかを	細田直人	4-8402-2183-9	0713	よ-2-1	264	
200303	電撃文庫	猫猫雑技団	篠崎砂美	水野耕太	4-8402-2270-3	0753	し-3-10	247	
200303	電撃文庫	ブギーポップ・スタッカート　ジンクスショップへようこそ	上遠野浩平	緒方剛志	4-8402-2293-2	0764	か-7-14	295	
200303	電撃文庫	アリソン II　真昼の夜の夢	時雨沢恵一	黒星紅白	4-8402-2307-6	0769	し-8-8	361	
200303	電撃文庫	頭蓋骨のホーリーグレイル IV	杉原智則	瑚澄遊智	4-8402-2308-4	0770	す-3-6	385	
200303	電撃文庫	灰色のアイリス IV	岩田洋季	佐藤利幸	4-8402-2309-2	0771	い-5-4	355	
200303	電撃文庫	ヴァルキュリアの機甲 IV　～乙女達の楽園～	ゆうきりん	宮村和生	4-8402-2310-6	0772	ゆ-1-4	349	
200303	電撃文庫	アースフェア・クロニクル　大魔王アリスLOVE	あすか正太	門井亜矢	4-8402-2313-0	0775	あ-12-4	329	
200303	電撃文庫	おねがい☆ティーチャー　みずほと桂のMilky Diary	雑破業　原作：Please!	羽音たらく、合田浩章	4-8402-2323-8	0776	さ-6-1	275	
200303	電撃文庫	桜色BUMP　シンメトリーの獣	在原竹広	GUNPOM	4-8402-2328-9	0777	あ-14-1	320	[第2回電撃hp短編小説大賞＜三次選考作＞]
200303	電撃ゲーム文庫	Innocent Black　探偵　神宮寺三郎	天羽沙夜	ハシモトヒロアキ	4-8402-2306-8	0766	J34-01	258	
200303	電撃G's文庫	デ・ジ・キャラット (4)	菜の花こねこ	コゲどんぼ、ひな。	4-8402-2240-1	0767	A26-04	227	
200303	富士見ファンタジア文庫	カオス レギオン0　招魔六陣篇	冲方丁	結賀さとる	4-8291-1496-7	894	136-2	284	
200303	富士見ファンタジア文庫	魔法戦士リウイ 0	水野良	横田守	4-8291-1500-9	898	100-12	257	
200303	富士見ファンタジア文庫	ハーモナイザー・エリオン (2)　ツキをつかんだ？魔法使い	吉村夜	ことぶきつかさ	4-8291-1501-7	899	105-4	325	
200303	富士見ファンタジア文庫	魔術士オーフェンはぐれ旅　我が聖域に開け扉 (上)	秋田禎信	草河遊也	4-8291-1502-5	900	40-38	257	
200303	富士見ファンタジア文庫	トワ・ミカミ・ティルズ II　月翳り、災厄の始まりの地へ	日下弘文	宮城	4-8291-1503-3	901	128-2	301	
200303	富士見ファンタジア文庫	火魅子伝 10	舞阪洸	大暮維人	4-8291-1504-1	902	98-11	441	
200303	富士見ファンタジア文庫	フルメタル・パニック！　踊るベリー・メリー・クリスマス	賀東招二	四季童子	4-8291-1505-X	903	92-12	362	
200303	富士見ファンタジア文庫	ホーリィの手記 4　氷結晶のプリズン	加藤ヒロノリ　原案：安田均	桜瀬琥姫	4-8291-1506-8	904	120-4	318	
200303	富士見ファンタジア文庫	まぶらほ　～ゆうれいの巻・した～	築地俊彦	駒都えーじ	4-8291-1507-6	905	99-9	278	
200303	角川スニーカー文庫	レディ・ガンナーと宝石泥棒	茅田砂胡	草河遊也	4-04-423104-4	12813	113-4	298	
200303	角川スニーカー文庫	ミステリ・アンソロジー V　血文字パズル	有栖川有栖、太田忠司、麻耶雄嵩、若竹七海	藤田新策	4-04-426906-8	12850	901-5	231	
